id,replies
,"RT @BarackObama: ""No one is born hating another person because of the color of his skin or his background or his religion..."" https://t.co/…"
,RT @mmmaayyyaa: ugh miss you https://t.co/ogChIQKRbH
1149081954228170752,@RetadinRizien @DemocracyFight4 @BarackObama @USWNT What does that have to do with dignifying the office of the pre… https://t.co/VPwHBMkSH8
1149021809557344256,@Flatron1364 @4thExplanition @BarackObama @USWNT Hahahhahahahhah.. they got plastered 5-2🤣🤣🤣🤣
,"RT @ColMorrisDavis: .@FoxNews is determined not to let @BarackObama (2009-2017) duck responsibility for the Iraq War in 2003, freeing the f…"
1148940273411661824,@BarackObama @USWNT https://t.co/rTWwyxN7Jh
1148946228887130112,@4thExplanition @BarackObama @USWNT He was an excellent president and the girls are amazing won the World Cup so th… https://t.co/MEueGqxaRe
1148776296912216067,@ItsaJonesWorld @senatemajldr @BarackObama His point still stands Obama is still a descendant of slave owners. Moth… https://t.co/1jUcR79hWf
,"RT @EKOtoons: @IGiant10 @TheAAGabriel @HillaryClinton @BarackObama @Comey CURRENTLY

https://t.co/aRnsZ8uXyY"
1148940273411661824,@BarackObama @USWNT Nice women’s jersey. Would look great on Michael
1149081440673550336,"@TrumpStudents @BarackObama @USWNT If this is your argument, you need to spend more time in class and less time on… https://t.co/4YDFTT6hFv"
1148940273411661824,@BarackObama @USWNT Ok @realDonaldTrump where's yours?
,"If nothing is juicy in the news except @realDonaldTrump, @HARRISFAULKNER immediately goes to @HillaryClinton or… https://t.co/8q7fDeH36A"
1149079473662451716,@MerielMyers @BarackObama @KathyBurke @USWNT @tomhanks @TheRock I'm taking your invite back!
,SO PURE https://t.co/8VO6Td2eqE
1149057001672101891,@leah_grubbs @Barnes_Chrissyy @DemocracyFight4 @BarackObama @USWNT Yeah...that why it's the worst.
1148940273411661824,@BarackObama @warkentin @USWNT You rocks sir... 😎
,RT @hannahkauthor: Mr. Masaaki Hiroi met @BarackObama when he was a community organizer in Chicago. @BarackObama showed Mr. Hiroi around th…
,❤️🇺🇸 https://t.co/p61Tnogg4F
1149082212727476230,"@eliminee jajaja, sólo si es Rihanna"
,RT @saintvenchy: I might just become pregnant if Rihanna was to wink at me https://t.co/5cUVVzv88h
,"RT @sensestae: maior número de semanas no #1 no Top Social 50

#1. Justin Bieber — 163
#2. @BTS_twt — 134
#3. Taylor Swift — 28
#4. Rihanna…"
1149076633292292098,@FLODAKILOS but also stan Rihanna
1148972117683294213,@KatyCharts @taylorswift13 @Beyonce @katyperry @rihanna @BeyonceOnChart @FentyOnChart @TChartSwift Rich queens😭💘💘💘
,RT @rihanna: 🤷🏿‍♀️ https://t.co/mftXXvvncB
,RT @dudaosuperpop: Todo mundo sabe que as duas seriam paraense e a beyonce ia ser do jurunas e amiga da Gaby e a rihanna ia morar na cidade…
